ID,Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,City,State Of US,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12,CA-2014-167164,5/13/2014 0:00,Second Class,AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
13,CA-2014-143336,8/27/2014 0:00,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
14,CA-2014-143336,8/27/2014 0:00,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
15,CA-2014-143336,8/27/2014 0:00,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,OFF-BI-10002215,Office Supplies,Binders,Wilson Jones Hanging View Binder White 1,22.72,4,0.2,7.384
16,CA-2016-137330,12/9/2016 0:00,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
17,CA-2016-137330,12/9/2016 0:00,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,OFF-AP-10001492,Office Supplies,Appliances,Acco Six-Outlet Power Strip 4 Cord Length,60.34,7,0,15.6884
18,US-2017-156909,7/16/2017 0:00,Second Class,SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,FUR-CH-10002774,Furniture,Chairs,Global Deluxe Stacking Chair Gray,71.372,2,0.3,-1.0196
19,CA-2015-106320,9/25/2015 0:00,Standard Class,EB-13870,Emily Burns,Consumer,Orem,Utah,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
20,CA-2016-121755,1/16/2016 0:00,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
21,CA-2016-121755,1/16/2016 0:00,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
22,US-2015-150630,9/17/2015 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
23,US-2015-150630,9/17/2015 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
24,CA-2017-107727,10/19/2017 0:00,Second Class,MA-17560,Matt Abelman,Home Office,Houston,Texas,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
25,CA-2016-117590,12/8/2016 0:00,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
26,CA-2016-117590,12/8/2016 0:00,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,FUR-FU-10003664,Furniture,Furnishings,Electrix Architects Clamp-On Swing Arm Lamp Black,190.92,5,0.6,-147.963
27,CA-2015-117415,12/27/2015 0:00,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,OFF-EN-10002986,Office Supplies,Envelopes,#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes,113.328,9,0.2,35.415
28,CA-2015-117415,12/27/2015 0:00,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,FUR-CH-10004218,Furniture,Chairs,Global Fabric Managers Chair Dark Gray,212.058,3,0.3,-15.147
29,CA-2015-117415,12/27/2015 0:00,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
30,CA-2017-120999,9/10/2017 0:00,Standard Class,LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
31,CA-2016-101343,7/17/2016 0:00,Standard Class,RA-19885,Ruben Ausman,Corporate,Los Angeles,California,OFF-ST-10003479,Office Supplies,Storage,Eldon Base for stackable storage shelf platinum,77.88,2,0,3.894
32,CA-2016-169194,6/20/2016 0:00,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
33,CA-2015-115742,4/18/2015 0:00,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346
34,CA-2015-115742,4/18/2015 0:00,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
35,CA-2015-115742,4/18/2015 0:00,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,FUR-CH-10003061,Furniture,Chairs,Global Leather Task Chair Black,89.99,1,0,17.0981
36,CA-2016-105816,12/11/2016 0:00,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566
37,CA-2016-105816,12/11/2016 0:00,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
38,CA-2016-111682,6/17/2016 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
39,CA-2016-111682,6/17/2016 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552
40,CA-2016-111682,6/17/2016 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
41,CA-2016-111682,6/17/2016 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,OFF-PA-10000587,Office Supplies,Paper,Array Parchment Paper Assorted Colors,14.56,2,0,6.9888
42,CA-2016-111682,6/17/2016 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
43,CA-2016-111682,6/17/2016 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362
44,CA-2016-111682,6/17/2016 0:00,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
45,CA-2015-135545,11/24/2015 0:00,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631
46,CA-2015-135545,11/24/2015 0:00,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
47,US-2015-164175,4/30/2015 0:00,Standard Class,PS-18970,Paul Stevenson,Home Office,Chicago,Illinois,FUR-CH-10001146,Furniture,Chairs,Global Value Mid-Back Managers Chair Gray,213.115,5,0.3,-15.2225
48,CA-2014-106376,12/5/2014 0:00,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
49,US-2015-134026,4/26/2015 0:00,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Managers Chair,831.936,8,0.2,-114.3912
50,US-2015-134026,4/26/2015 0:00,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
51,US-2017-118038,12/9/2017 0:00,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
52,US-2017-118038,12/9/2017 0:00,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,FUR-FU-10000260,Furniture,Furnishings,6 Cubicle Wall Clock Black,9.708,3,0.6,-5.8248
53,CA-2016-127208,6/12/2016 0:00,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,OFF-AP-10002118,Office Supplies,Appliances,1.7 Cubic Foot Compact Cube Office Refrigerators,208.16,1,0,56.2032
54,CA-2016-127208,6/12/2016 0:00,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352
55,CA-2015-149734,9/3/2015 0:00,Standard Class,JC-16105,Julie Creighton,Corporate,Durham,North Carolina,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel N Seal Padded Mailers,200.984,7,0.2,62.8075
56,US-2017-119662,11/13/2017 0:00,First Class,CS-12400,Christopher Schild,Home Office,Chicago,Illinois,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
57,CA-2017-140088,5/28/2017 0:00,Second Class,PO-18865,Patrick ODonnell,Consumer,Columbia,South Carolina,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156
58,CA-2017-155558,10/26/2017 0:00,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568
59,CA-2016-159695,4/5/2016 0:00,Second Class,GM-14455,Gary Mitchum,Home Office,Houston,Texas,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
60,CA-2016-109806,9/17/2016 0:00,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
61,CA-2016-109806,9/17/2016 0:00,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782
62,CA-2016-109806,9/17/2016 0:00,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104
63,CA-2015-149587,1/31/2015 0:00,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208
64,CA-2015-149587,1/31/2015 0:00,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,FUR-FU-10003799,Furniture,Furnishings,Seth Thomas 13 1/2 Wall Clock,53.34,3,0,16.5354
65,CA-2015-149587,1/31/2015 0:00,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504
66,CA-2017-161018,11/9/2017 0:00,Second Class,PN-18775,Parhena Norris,Home Office,New York City,New York,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
67,CA-2017-157833,6/17/2017 0:00,First Class,KD-16345,Katherine Ducich,Consumer,San Francisco,California,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
68,CA-2016-149223,9/6/2016 0:00,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852
69,CA-2016-158568,8/29/2016 0:00,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
70,CA-2016-158568,8/29/2016 0:00,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
71,CA-2016-158568,8/29/2016 0:00,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
72,US-2015-156867,11/13/2015 0:00,Standard Class,LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
73,CA-2017-119004,11/23/2017 0:00,Standard Class,JM-15250,Janet Martin,Consumer,Charlotte,North Carolina,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
74,CA-2017-119004,11/23/2017 0:00,Standard Class,JM-15250,Janet Martin,Consumer,Charlotte,North Carolina,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
75,CA-2017-119004,11/23/2017 0:00,Standard Class,JM-15250,Janet Martin,Consumer,Charlotte,North Carolina,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738
76,CA-2015-129476,10/15/2015 0:00,Standard Class,PA-19060,Pete Armstrong,Home Office,Orland Park,Illinois,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992
77,CA-2017-146780,12/25/2017 0:00,Standard Class,CV-12805,Cynthia Voltz,Corporate,New York City,New York,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,10.9096
78,CA-2016-128867,11/3/2016 0:00,Standard Class,CL-12565,Clay Ludtke,Consumer,Urbandale,Iowa,OFF-AR-10000380,Office Supplies,Art,Hunt PowerHouse Electric Pencil Sharpener Blue,75.96,2,0,22.788
79,CA-2016-128867,11/3/2016 0:00,Standard Class,CL-12565,Clay Ludtke,Consumer,Urbandale,Iowa,OFF-BI-10003981,Office Supplies,Binders,Avery Durable Plastic 1 Binders,27.24,6,0,13.3476
80,CA-2014-115259,8/25/2014 0:00,Second Class,RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,OFF-FA-10000621,Office Supplies,Fasteners,OIC Colored Binder Clips Assorted Sizes,40.096,14,0.2,14.5348
81,CA-2014-115259,8/25/2014 0:00,Second Class,RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,OFF-EN-10002600,Office Supplies,Envelopes,Redi-Strip #10 Envelopes 4 1/8 x 9 1/2,4.72,2,0.2,1.652
82,CA-2014-115259,8/25/2014 0:00,Second Class,RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925
83,CA-2015-110457,3/2/2015 0:00,Standard Class,DK-13090,Dave Kipp,Consumer,Seattle,Washington,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0,165.3813
84,US-2015-136476,4/5/2015 0:00,Standard Class,GG-14650,Greg Guthrie,Corporate,Bristol,Tennessee,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156
85,CA-2016-103730,6/12/2016 0:00,First Class,SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0,18.3456
86,CA-2016-103730,6/12/2016 0:00,First Class,SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,OFF-ST-10000777,Office Supplies,Storage,Companion Letter/Legal File Black,226.56,6,0,63.4368
87,CA-2016-103730,6/12/2016 0:00,First Class,SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0,51.759
88,US-2014-152030,12/26/2014 0:00,Second Class,AD-10180,Alan Dominguez,Home Office,Houston,Texas,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Managers Chair,600.558,3,0.3,-8.5794
89,US-2014-134614,9/20/2014 0:00,Standard Class,PF-19165,Philip Fox,Consumer,Bloomington,Illinois,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
90,US-2017-107272,11/5/2017 0:00,Standard Class,TS-21610,Troy Staebel,Consumer,Phoenix,Arizona,OFF-BI-10003274,Office Supplies,Binders,Avery Durable Slant Ring Binders No Labels,2.388,2,0.7,-1.8308
91,US-2017-107272,11/5/2017 0:00,Standard Class,TS-21610,Troy Staebel,Consumer,Phoenix,Arizona,OFF-ST-10002974,Office Supplies,Storage,Trav-L-File Heavy-Duty Shuttle II Black,243.992,7,0.2,30.499
92,US-2016-125969,11/6/2016 0:00,Second Class,LS-16975,Lindsay Shagiari,Home Office,Los Angeles,California,FUR-CH-10001146,Furniture,Chairs,Global Task Chair Black,81.424,2,0.2,-9.1602
93,US-2017-164147,2/2/2017 0:00,First Class,DW-13585,Dorothy Wardle,Corporate,Columbus,Ohio,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364
94,US-2017-164147,2/2/2017 0:00,First Class,DW-13585,Dorothy Wardle,Corporate,Columbus,Ohio,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732
95,CA-2016-145583,10/13/2016 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,3,0,9.6192
96,CA-2016-145583,10/13/2016 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44,1,0,16.6568
97,CA-2016-145583,10/13/2016 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,OFF-AR-10001149,Office Supplies,Art,Sanford Colorific Colored Pencils 12/Box,11.52,4,0,3.456
98,CA-2016-145583,10/13/2016 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0,1.9698
99,CA-2016-145583,10/13/2016 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,0.2,26.6616
100,CA-2016-145583,10/13/2016 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,0,18.4464
101,CA-2016-145583,10/13/2016 0:00,Standard Class,LC-16885,Lena Creighton,Consumer,Roseville,California,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0,20.6976
102,CA-2017-106180,9/18/2017 0:00,Standard Class,SH-19975,Sally Hughsby,Corporate,San Francisco,California,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82,3,0,2.3814
103,CA-2017-106180,9/18/2017 0:00,Standard Class,SH-19975,Sally Hughsby,Corporate,San Francisco,California,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0,5.1042
104,CA-2017-106180,9/18/2017 0:00,Standard Class,SH-19975,Sally Hughsby,Corporate,San Francisco,California,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,143.7,3,0,68.976
105,CA-2017-155376,12/22/2017 0:00,Standard Class,SG-20080,Sandra Glassco,Consumer,Independence,Missouri,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0,218.2518
106,CA-2015-110744,9/7/2015 0:00,Standard Class,HA-14920,Helen Andreada,Consumer,Pasadena,California,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0,20.1579
107,CA-2014-110072,10/22/2014 0:00,Standard Class,MG-17680,Maureen Gastineau,Home Office,Newark,Ohio,FUR-FU-10000521,Furniture,Furnishings,Seth Thomas 14 Putty-Colored Wall Clock,93.888,4,0.2,12.9096
108,CA-2016-114489,12/5/2016 0:00,Standard Class,JE-16165,Justin Ellison,Corporate,Franklin,Wisconsin,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,0,5.9988
109,CA-2016-114489,12/5/2016 0:00,Standard Class,JE-16165,Justin Ellison,Corporate,Franklin,Wisconsin,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,0,80.6285
110,CA-2016-158834,3/13/2016 0:00,First Class,TW-21025,Tamara Willingham,Home Office,Scottsdale,Arizona,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,15.2388
111,CA-2015-124919,5/31/2015 0:00,First Class,SP-20650,Stephanie Phelps,Corporate,San Jose,California,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,105.52,4,0,48.5392
112,CA-2015-118948,5/28/2015 0:00,Standard Class,NK-18490,Neil Knudson,Home Office,Seattle,Washington,OFF-AR-10001547,Office Supplies,Art,Newell 311,6.63,3,0,1.7901
113,CA-2014-104269,3/1/2014 0:00,Second Class,DB-13060,Dave Brooks,Consumer,Seattle,Washington,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Managers Chair,457.568,2,0.2,51.4764
114,CA-2016-114104,11/20/2016 0:00,Standard Class,NP-18670,Nora Paige,Consumer,Edmond,Oklahoma,OFF-LA-10002475,Office Supplies,Labels,Avery 519,14.62,2,0,6.8714
115,CA-2016-114104,11/20/2016 0:00,Standard Class,NP-18670,Nora Paige,Consumer,Edmond,Oklahoma,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,944.93,7,0,236.2325
116,CA-2016-162733,5/11/2016 0:00,First Class,TT-21070,Ted Trevino,Consumer,Los Angeles,California,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0,2.691
117,CA-2015-119697,12/28/2015 0:00,Second Class,EM-13960,Eric Murdock,Consumer,Philadelphia,Pennsylvania,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,1.3596
118,CA-2016-154508,11/16/2016 0:00,Standard Class,RD-19900,Ruben Dartt,Consumer,Carlsbad,New Mexico,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,28.4,5,0,13.348
119,CA-2016-113817,11/7/2016 0:00,Standard Class,MJ-17740,Max Jones,Consumer,Seattle,Washington,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688
120,CA-2014-139892,9/8/2014 0:00,Standard Class,BM-11140,Becky Martin,Consumer,San Antonio,Texas,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324
121,CA-2014-139892,9/8/2014 0:00,Standard Class,BM-11140,Becky Martin,Consumer,San Antonio,Texas,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,-1359.992
122,CA-2014-139892,9/8/2014 0:00,Standard Class,BM-11140,Becky Martin,Consumer,San Antonio,Texas,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2,-58.6347
123,CA-2014-139892,9/8/2014 0:00,Standard Class,BM-11140,Becky Martin,Consumer,San Antonio,Texas,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.858
124,CA-2014-139892,9/8/2014 0:00,Standard Class,BM-11140,Becky Martin,Consumer,San Antonio,Texas,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136
125,CA-2014-139892,9/8/2014 0:00,Standard Class,BM-11140,Becky Martin,Consumer,San Antonio,Texas,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8,-453.849
126,CA-2014-139892,9/8/2014 0:00,Standard Class,BM-11140,Becky Martin,Consumer,San Antonio,Texas,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3,0.2,8.9985
127,CA-2014-118962,8/5/2014 0:00,Standard Class,CS-12130,Chad Sievert,Consumer,Los Angeles,California,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,110.96,2,0,53.2608
